link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000001,1500013,1500049,metro,1,1.1,1,service_links,9814.569349518277,16,999999,5004.596268876175,0,0 days 00:07:00,15999984,0.15,4,0,"LINESTRING (-121.780353 37.995415, -121.889011 38.016873)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,0,1.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
1000002,1500049,1500053,metro,1,1.1,1,service_links,4844.346439222662,16,999999,1733.563338091609,0,0 days 00:10:00,15999984,0.15,4,0,"LINESTRING (-121.889011 38.016873, -121.944248 38.01895)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,1,1.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
1000003,1500053,1500044,metro,1,1.1,1,service_links,7245.330392384027,16,999999,4304.156668742986,0,0 days 00:06:00,15999984,0.15,4,0,"LINESTRING (-121.944248 38.01895, -122.024561 38.003407)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,2,1.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
1000004,1500044,1500023,metro,1,1.1,1,service_links,3319.347038453766,16,999999,3905.1141628867836,0,0 days 00:03:00,15999984,0.15,4,0,"LINESTRING (-122.024561 38.003407, -122.029126 37.973773)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,3,1.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
1000005,1500023,1500050,metro,1,1.1,1,service_links,5562.592823566718,16,999999,3957.575921905175,0,0 days 00:05:00,15999984,0.15,4,0,"LINESTRING (-122.029126 37.973773, -122.056015 37.928463)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,4,1.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
1000006,1500050,1500070,metro,1,1.1,1,service_links,2708.7781495772197,16,999999,3186.797823032023,0,0 days 00:03:00,15999984,0.15,4,0,"LINESTRING (-122.056015 37.928463, -122.067379 37.905812)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,5,1.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
1000007,1500070,1500035,metro,1,1.1,1,service_links,5216.027279142814,16,999999,3711.007550378287,0,0 days 00:05:00,15999984,0.15,4,0,"LINESTRING (-122.067379 37.905812, -122.124644 37.89322)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,6,1.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
1000008,1500035,1500046,metro,1,1.1,1,service_links,5436.3392868941455,16,999999,4820.39936768939,0,0 days 00:04:00,15999984,0.15,4,0,"LINESTRING (-122.124644 37.89322, -122.183717 37.878503)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,7,1.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
1000009,1500046,1500058,metro,1,1.1,1,service_links,7015.594971699901,16,999999,4167.680181207862,0,0 days 00:06:00,15999984,0.15,4,0,"LINESTRING (-122.183717 37.878503, -122.251271 37.844795)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,8,1.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
1000010,1500058,1500038,metro,1,1.1,1,service_links,2259.5209898272865,16,999999,2658.259988032102,0,0 days 00:03:00,15999984,0.15,4,0,"LINESTRING (-122.251271 37.844795, -122.267163 37.828814)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,9,1.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
